user_id,anchor,anchor_label,anchor_group,anchor_description,cosine_similarity,cosine_distance,n_anchor_terms,n_posts,label_majority,targets,channel_id,channel_title,group_label,corpus,source_kind,n_videos,similarity_zscore_within_anchor,distance_zscore_within_anchor
afghanistan_news::UCLXo7UDZvByw2ixzpQCufnA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5727716684341431,0.42722833156585693,1,3634,news,,UCLXo7UDZvByw2ixzpQCufnA,Vox,afghanistan_news,afghanistan,news,1,-0.533452746825764,0.533452746825764
afghanistan_news::UCVSNOxehfALut52NbkfRBaA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5731707811355591,0.4268292188644409,1,3016,news,,UCVSNOxehfALut52NbkfRBaA,Voice of America,afghanistan_news,afghanistan,news,46,0.20346480903897934,-0.20346480903897934
afghanistan_news::UCZaT_X_mc0BI-djXOlfhqWQ,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5732610821723938,0.4267389178276062,1,43295,news,,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,afghanistan_news,afghanistan,news,9,0.37019570765533033,-0.37019570765533033
afghanistan_news::UCcyq283he07B7_KUX07mmtA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5732402801513672,0.4267597198486328,1,2141,news,,UCcyq283he07B7_KUX07mmtA,Business Insider,afghanistan_news,afghanistan,news,2,0.33178707160443494,-0.33178707160443494
afghanistan_news::UCzuqE7-t13O4NIDYJfakrhw,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5735002756118774,0.42649972438812256,1,3511,news,,UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,afghanistan_news,afghanistan,news,15,0.8118399955414138,-0.8118399955414138
afghanistan_influencers::UC-3jIAlnQmbbVMV6gR7K8aQ,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6173986196517944,0.38260138034820557,1,7028,influencer,,UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,afghanistan_influencers,afghanistan,influencer,26,-0.18729974977217995,0.18729974977217995
afghanistan_influencers::UCCRNUa9EwvRXMYwUmDi3JtA,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6168867349624634,0.3831132650375366,1,975,influencer,,UCCRNUa9EwvRXMYwUmDi3JtA,Chad Prather,afghanistan_influencers,afghanistan,influencer,3,-0.6753697722521074,0.6753697722521074
afghanistan_influencers::UCD8YGIxFCnVqv-ZGqgtVWAg,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6171911954879761,0.3828088045120239,1,6425,influencer,,UCD8YGIxFCnVqv-ZGqgtVWAg,Erick Stakelbeck on TBN,afghanistan_influencers,afghanistan,influencer,7,-0.3850738157048939,0.3850738157048939
afghanistan_influencers::UCIveFvW-ARp_B_RckhweNJw,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6171245574951172,0.3828754425048828,1,3067,influencer,,UCIveFvW-ARp_B_RckhweNJw,StevenCrowder,afghanistan_influencers,afghanistan,influencer,2,-0.44861157596718537,0.44861157596718537
afghanistan_influencers::UCJdKr0Bgd_5saZYqLCa9mng,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6171565055847168,0.3828434944152832,1,497,influencer,,UCJdKr0Bgd_5saZYqLCa9mng,The Rubin Report,afghanistan_influencers,afghanistan,influencer,3,-0.4181498232832961,0.4181498232832961
