user_id,anchor,anchor_label,anchor_group,anchor_description,cosine_similarity,cosine_distance,n_anchor_terms,n_posts,label_majority,targets,channel_id,channel_title,group_label,corpus,source_kind,n_videos,similarity_zscore_within_anchor,distance_zscore_within_anchor
iran_influencers::UCx_2Vso6Qz76n-w5KV8DZcA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5666223168373108,0.4333776831626892,1,488,influencer,,UCx_2Vso6Qz76n-w5KV8DZcA,Allie Beth Stuckey,iran_influencers,iran,influencer,1,-2.0994120902777036,2.0994120902777444
iran_news::UC3ScyryU9Oy9Wse3a8OAmYQ,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5698373317718506,0.4301626682281494,1,3773,news,,UC3ScyryU9Oy9Wse3a8OAmYQ,FRONTLINE PBS | Official,iran_news,iran,news,1,0.26516401460574296,-0.2651640146057021
iran_news::UC52X5wxOL_s5yw0dQk7NtgA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.570465087890625,0.429534912109375,1,2382,news,,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,iran_news,iran,news,10,0.7268654836102194,-0.7268654836101786
iran_news::UC8p1vwvWtl6T73JiExfWs1g,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5720943212509155,0.4279056787490845,1,940,news,,UC8p1vwvWtl6T73JiExfWs1g,CBS News,iran_news,iran,news,9,1.92513247504284,-1.9251324750427992
iran_news::UC9k-yiEpRHMNVOnOi_aQK8w,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5679436922073364,0.4320563077926636,1,77,news,,UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,iran_news,iran,news,1,-1.1275681986749462,1.127568198674987
iran_news::UCBi2mrWuNuyYy4gbM6fU18Q,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5710147619247437,0.42898523807525635,1,1734,news,,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,iran_news,iran,news,4,1.1311392157749822,-1.1311392157749414
iran_news::UCBu0KdNokE4MqdkacvH37_A,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5707341432571411,0.4292658567428589,1,389,news,,UCBu0KdNokE4MqdkacvH37_A,WFAA,iran_news,iran,news,1,0.9247500668884389,-0.924750066888398
iran_news::UCCXoCcu9Rp7NPbTzIvogpZg,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5695663690567017,0.43043363094329834,1,3147,news,,UCCXoCcu9Rp7NPbTzIvogpZg,Fox Business,iran_news,iran,news,8,0.0658766163818206,-0.06587661638177977
iran_news::UCIALMKvObZNtJ6AmdCLP7Lg,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5680404901504517,0.43195950984954834,1,89,news,,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,iran_news,iran,news,2,-1.0563753401805225,1.0563753401805633
iran_news::UCJg9wBPyKMNA5sRDnvzmkdg,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.570038378238678,0.429961621761322,1,2841,news,,UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,iran_news,iran,news,8,0.4130294774762423,-0.41302947747620145
iran_news::UCK7tptUDHh-RYDsdxO1-5QQ,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5709066987037659,0.42909330129623413,1,357,news,,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,iran_news,iran,news,1,1.0516609815075006,-1.0516609815074598
